gene	reference_source
ABCD1	HPO
ACR	ClinVar,HPO
ACTL7A	ClinVar,HPO
ACTL9	ClinVar,HPO
AIP	HPO
AK7	HPO,Literature_review
AKAP3	ClinVar,HPO
ALG5	HPO
ALG9	HPO
ALMS1	HPO
AMH	HPO
AMHR2	HPO
ANAPC1	HPO
ANTXR1	HPO
AR	ClinVar,ClinVar_high_confidence,HPO
ARL2BP	HPO
ARMC12	ClinVar,HPO
ARMC2	ClinVar,HPO
AURKC	ClinVar,ClinVar_high_confidence,HPO,Literature_review
BCL10	HPO
BRAF	HPO
BRCA1	HPO
BRDT	HPO
BRWD1	ClinVar,HPO
C14ORF39	ClinVar,HPO
CATIP	ClinVar,HPO
CATSPER1	ClinVar,HPO,Literature_review
CATSPER2	ClinVar,HPO,Literature_review
CATSPER3	Literature_review
CATSPER4	Literature_review
CCDC146	ClinVar,HPO
CCDC34	ClinVar,HPO
CCDC39	ClinVar,ClinVar_high_confidence,HPO,Literature_review
CCDC40	HPO,Literature_review
CCDC42	Literature_review
CCDC62	ClinVar,HPO
CCDC65	Literature_review
CCIN	ClinVar,HPO
CCNO	HPO
CDC14A	HPO
CDH23	HPO
CEP112	ClinVar,HPO
CEP19	HPO
CFAP221	HPO
CFAP251	ClinVar,HPO
CFAP298	HPO
CFAP300	HPO
CFAP410	HPO
CFAP43	ClinVar,HPO,Literature_review
CFAP44	ClinVar,ClinVar_high_confidence,HPO,Literature_review
CFAP45	ClinVar,HPO
CFAP52	ClinVar,HPO
CFAP57	HPO
CFAP58	ClinVar,HPO
CFAP61	ClinVar,HPO
CFAP65	ClinVar,HPO
CFAP69	ClinVar,HPO,Literature_review
CFAP70	ClinVar,HPO
CFAP74	HPO
CFAP91	ClinVar,HPO,Literature_review
CHD7	HPO
CLXN	HPO
CNBP	HPO
CTNS	HPO
CYLC1	HPO
CYP17A1	HPO
DAW1	HPO
DAZL	Literature_review
DCTN4	HPO
DDX3Y	ClinVar,HPO
DHH	HPO
DHX37	ClinVar,HPO
DMC1	Literature_review
DMRT1	Literature_review
DNAAF1	HPO,Literature_review
DNAAF11	HPO
DNAAF2	HPO,Literature_review
DNAAF3	HPO,Literature_review
DNAAF4	HPO,Literature_review
DNAAF5	HPO,Literature_review
DNAAF6	HPO
DNAH1	ClinVar,ClinVar_high_confidence,HPO,Literature_review
DNAH10	ClinVar,HPO
DNAH17	ClinVar,HPO
DNAH2	ClinVar,HPO,Literature_review
DNAH7	HPO
DNAH8	ClinVar,ClinVar_high_confidence,HPO,Literature_review
DNAI1	HPO,Literature_review
DNAI2	HPO,Literature_review
DNAJB11	HPO
DNAJB13	HPO
DNAL1	HPO
DNALI1	ClinVar,HPO
